"","name","SC0.IN0","SC0.IN1","SC1.IN0","SC1.IN1","pool","id","location_code","historic_name","latitude","longitude","water_depth","sensor_depth","rec_time","cycle_time","start_data","end_data","sampling_rate","institution_source","region","sum_bins","neg_perc_sc","accuracy","balanced_accuracy","f1","recall","precision","in_per_mooring_stats_pool"
"96","CX14_AU_HS01",62098,2120,1093,28209,"test",209,"HS01","CX14_AU_HS1",72.42793,-161.62877,42,39,80,300,2014-10-04 07:00:00,2015-09-17 01:20:00,16384,"AFSC",2,93520,68.6676646706587,0.96564371257485,0.964843120446588,0.946118629571867,0.962698791891338,0.930099904381945,1
"97","CX14_AU_HS02",67190,2782,611,22937,"test",210,"HS02","CX14_AU_HS2",72.58005,-161.21792,54,39.5,80,300,2014-10-04 07:00:00,2015-09-17 01:20:00,16384,"AFSC",2,93520,74.8203592814371,0.963718990590248,0.96714711874218,0.931130371242414,0.974052998131476,0.891830942105059,1
"99","CX14_AU_IC03",68436,1637,869,24706,"test",212,"IC03","CX14_AU_IC3",71.83128,-166.07838,51,40,80,300,2014-09-27 03:00:00,2015-09-17 19:20:00,16384,"AFSC",2,95648,73.2613332218133,0.973799765807963,0.971330076821576,0.951731576717131,0.966021505376344,0.93785825456478,1
"100","CX14_AU_WT02",52667,1609,1844,36952,"test",213,"WT02","CX14_AU_WT2",71.78167,-161.85838,42,39.1,80,300,2014-10-06 07:00:00,2015-09-17 09:20:00,16384,"AFSC",2,93072,58.3161423414131,0.962899690562145,0.961412274097699,0.955362798453921,0.952469326734715,0.95827390368507,1
"101","CX15_AU_IC02",63497,2716,1049,31347,"test",214,"IC02","CX15_AU_IC2",71.229367,-164.226217,41,37.1,80,300,2015-09-14 07:00:00,2016-09-15 00:20:00,16384,"AFSC",2,98609,67.1470149783488,0.961818900911682,0.963300161988677,0.943348530673047,0.967619459192493,0.920265390599771,1
"102","CX15_AU_IC03",62518,1635,2178,30997,"test",215,"IC03","CX15_AU_IC3",71.829483,-166.077067,43,41,80,300,2015-09-18 07:00:00,2016-09-14 05:20:00,16384,"AFSC",2,97328,65.9142281768864,0.96082319579155,0.954431103036917,0.942057835792545,0.934348153730219,0.949895807796028,1
"103","CZ10_AU_IC01-03",51796,3148,1584,36870,"test",218,"IC01","CZ10_AU_A03",70.7983833,-163.0811167,43,37.7,95,300,2010-09-10 07:00:00,2011-06-27 13:35:00,16384,"AFSC",2,93398,58.8278121587186,0.949335103535408,0.950756613147662,0.93969823631359,0.958807926353565,0.921335399070418,1
"104","CZ10_AU_IC02-03",38578,11423,108,41345,"test",223,"IC02","CZ10_AU_B03",71.2020333,-164.1922333,43,37.8,95,300,2010-09-10 07:00:00,2011-06-21 12:35:00,16384,"AFSC",2,91454,54.673387714042,0.873914754958777,0.884469604410532,0.877617516264952,0.997394639712445,0.783524105518496,1
"105","CZ11_AU_IC01-03",66378,1883,1867,31752,"test",233,"IC01","CZ11_AU_A03",70.8167667,-163.1361167,43,39,85,300,2011-09-03 07:00:00,2012-08-21 21:25:00,16384,"AFSC",2,101880,67.0013741656851,0.96319199057715,0.958440314698925,0.944241234722098,0.944465927005562,0.944016649323621,1
"106","CZ11_AU_IC02-03",37891,3838,491,34099,"test",238,"IC02","CZ11_AU_B03",71.2016333,-164.1979167,44,36.4,85,300,2011-08-29 07:00:00,2012-05-20 03:25:00,16384,"AFSC",2,76319,54.6770791021895,0.943277558668221,0.94691536985388,0.940311883850152,0.985805145995953,0.898832274560455,1
"113","ST13_AU_NS01",75508,11590,16,25334,"test",276,"NS01","ST13_AU_NS1",63.3997833,-166.2407167,24,20,80,300,2013-08-22 07:00:00,2014-10-14 11:20:00,16384,"AFSC",1,112448,77.4562464428002,0.896787848605578,0.933150169368717,0.813630086392395,0.999368836291913,0.68611201386632,1
"114","ST14_AU_NS01",55758,7980,145,28292,"test",277,"NS01","ST14_AU_NS1",63.39978,-166.24072,24,19.6,80,300,2014-10-15 07:00:00,2015-09-23 01:20:00,16384,"AFSC",1,92175,69.1489015459723,0.911852454570111,0.934850485797184,0.874437867993633,0.994901009248514,0.779995588883988,1
